Ligand SMILES,Target Name,Ki (nM),pKi
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C(=O)N(CC=C)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],3.7,8.431798275933005
OCC(O)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(O)CO)C1=O,Dimer of Gag-Pol polyprotein [501-599],3.9,8.4089353929735
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCCC2)C(=O)N(CC2CCCC2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],4.0,8.397940008672037
CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC=C)C1=O,Dimer of Gag-Pol polyprotein [501-599],4.1,8.387216143280265
CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC)C1=O,Dimer of Gag-Pol polyprotein [501-599],4.1,8.387216143280265
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCCC2)C(=O)N(CC2CC2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],4.1,8.387216143280265
COC(=O)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(O)=O)C1=O,Dimer of Gag-Pol polyprotein [501-599],4.3,8.366531544420413
CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCCC2)C1=O,Dimer of Gag-Pol polyprotein [501-599],4.6,8.337242168318426
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC=C)C(=O)N(CC=C)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],4.6,8.337242168318426
CCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC)C1=O,Dimer of Gag-Pol polyprotein [501-599],4.6,8.337242168318426
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C(=O)N(C\C=C\c2ccccc2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],4.6,8.337242168318426
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C\C=C\c2ccccc2)C(=O)N(C\C=C\c2ccccc2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],4.7,8.327902142064282
CNC(=O)OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],5.2,8.2839966563652
CNC(=O)n1cc(\C=C\CN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(C\C=C\c3cnn(c3)C(=O)NC)C2=O)cn1,Dimer of Gag-Pol polyprotein [501-599],6.9,8.161150909262744
CC(C)CCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCC(C)C)C1=O,Dimer of Gag-Pol polyprotein [501-599],7.0,8.154901959985743
COCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],7.8,8.10790539730952
CCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCC)C1=O,Dimer of Gag-Pol polyprotein [501-599],8.0,8.096910013008056
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)OCc2cccnc2)C(=O)N(CCCCCNC(=O)OCc2cccnc2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],8.9,8.050609993355087
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC=C)C(=O)N(CCCCC=C)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],9.1,8.040958607678906
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)Oc2ccc(cc2)[N+]([O-])=O)C(=O)N(CCCCCNC(=O)OCc2ccncc2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],10.0,8.0
CC(C)CCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCC(C)C)C1=O,Dimer of Gag-Pol polyprotein [501-599],12.0,7.920818753952375
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC2CO2)C(=O)N(CCCCC2CO2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],12.0,7.920818753952375
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2cccc(c2)C(F)(F)F)C(=O)N(CCCCCNC(=O)c2cccc(c2)C(F)(F)F)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],12.0,7.920818753952375
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)Nc2ccccc2)C(=O)N(CCCCCNC(=O)Nc2ccccc2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],14.0,7.853871964321762
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2cccc(F)c2)C(=O)N(CCCCCNC(=O)c2cccc(F)c2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],14.0,7.853871964321762
C\C(CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCC\C(C)=N/O)C1=O)=N\O,Dimer of Gag-Pol polyprotein [501-599],15.0,7.823908740944319
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2ccncc2)C(=O)N(CCCCCNC(=O)c2ccncc2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],16.0,7.795880017344075
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2ccc(F)cc2)C(=O)N(CCCCCNC(=O)c2ccc(F)cc2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],18.0,7.7447274948966935
OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCCl)C1=O,Dimer of Gag-Pol polyprotein [501-599],19.0,7.721246399047171
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2cc(F)cc(F)c2)C(=O)N(CCCCCNC(=O)c2cc(F)cc(F)c2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],21.0,7.6777807052660805
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(Br)Br)C(=O)N(CCCCCC(Br)Br)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],25.0,7.6020599913279625
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C\C=C\c2ccccc2O)C(=O)N(C\C=C\c2ccccc2O)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],25.0,7.6020599913279625
CSCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],26.0,7.585026652029182
COC(=O)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(=O)OC)C1=O,Dimer of Gag-Pol polyprotein [501-599],29.0,7.5376020021010435
CC(C)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)C)C1=O,Dimer of Gag-Pol polyprotein [501-599],30.0,7.522878745280337
CNS(=O)(=O)OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],31.0,7.508638306165727
CC(=O)OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],32.0,7.494850021680094
OCC1CC1CN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2CO)C1=O,Dimer of Gag-Pol polyprotein [501-599],33.0,7.481486060122112
OCCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],34.0,7.468521082957745
CNC(=O)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(=O)NC)C1=O,Dimer of Gag-Pol polyprotein [501-599],35.0,7.455931955649724
CC(C)(C)CCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCC(C)(C)C)C1=O,Dimer of Gag-Pol polyprotein [501-599],36.0,7.443697499232712
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCCCC2)C(=O)N(CC2CCCCC2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],37.0,7.431798275933005
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCc2ccccc2)C(=O)N(CCCc2ccccc2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],37.0,7.431798275933005
COCCOCn1cc(\C=C\CN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(C\C=C\c3cnn(COCCOC)c3)C2=O)cn1,Dimer of Gag-Pol polyprotein [501-599],40.0,7.3979400086720375
OCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],42.0,7.376750709602099
CNC(=O)OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCOC(=O)NC)C1=O,Dimer of Gag-Pol polyprotein [501-599],46.0,7.337242168318426
CC(C)(O)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)(C)O)C1=O,Dimer of Gag-Pol polyprotein [501-599],46.0,7.337242168318426
C\C(=C/CN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(C\C=C(/C)C(O)=O)C1=O)C(O)=O,Dimer of Gag-Pol polyprotein [501-599],47.0,7.327902142064283
CC(C)CN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC(C)C)C1=O,Dimer of Gag-Pol polyprotein [501-599],49.0,7.309803919971486
OCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],51.0,7.292429823902063
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2ccccc2)C(=O)N(CCCCCNC(=O)c2ccccc2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],59.0,7.229147988357855
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCOC=C)C(=O)N(CCOC=C)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],60.0,7.221848749616356
CC(=O)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)=O)C1=O,Dimer of Gag-Pol polyprotein [501-599],70.0,7.154901959985743
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC#N)C(=O)N(CCCCC#N)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],70.0,7.154901959985743
CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCc2ccccc2)C1=O,Dimer of Gag-Pol polyprotein [501-599],73.0,7.136677139879544
COCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCOC)C1=O,Dimer of Gag-Pol polyprotein [501-599],96.0,7.017728766960431
CCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC)C1=O,Dimer of Gag-Pol polyprotein [501-599],100.0,7.0
CC(C)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(C)C)C1=O,Dimer of Gag-Pol polyprotein [501-599],110.0,6.958607314841775
CNC(=O)OCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCOC(=O)NC)C1=O,Dimer of Gag-Pol polyprotein [501-599],110.0,6.958607314841775
CNC(=S)NCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=S)NC)C1=O,Dimer of Gag-Pol polyprotein [501-599],110.0,6.958607314841775
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC=C)C(=O)N(CCCN2C(=O)c3ccccc3C2=O)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],120.0,6.920818753952375
CC(C)(CO)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)(C)CO)C1=O,Dimer of Gag-Pol polyprotein [501-599],125.0,6.903089986991944
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCC(N=O)c2ccc(F)cc2)C(=O)N(CCCC(N=O)c2ccc(F)cc2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],130.0,6.886056647693163
CNC(=O)OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCOC(C)=O)C1=O,Dimer of Gag-Pol polyprotein [501-599],140.0,6.853871964321762
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)CN2CCOCC2)C(=O)N(CCCCCNC(=O)CN2CCOCC2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],210.0,6.6777807052660805
CS(=O)(=O)NCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNS(C)(=O)=O)C1=O,Dimer of Gag-Pol polyprotein [501-599],220.0,6.657577319177793
CNCC(=O)NCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)CNC)C1=O,Dimer of Gag-Pol polyprotein [501-599],220.0,6.657577319177793
Cc1ccc(cc1)S(=O)(=O)NCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNS(=O)(=O)c2ccc(C)cc2)C1=O,Dimer of Gag-Pol polyprotein [501-599],240.0,6.619788758288394
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2ccccc2F)C(=O)N(CCCCCNC(=O)c2ccccc2F)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],240.0,6.619788758288394
